"Date","Time","Temp","SpCond","Cond","Resist","TDS","Sal","Press","Depth","pH","pH","Chl","Chl","Turbid+","ODOsat","ODO","Battery"
"Y/M/D","HH:MM:SS","C","uS","uS","Ohm*cm","g/L","ppt","psia","meters","","mV","ug/L","RFU","NTU","%","mg/L","volts"
"2019/12/10","20:01:27",12.24,30423,23011,43.4579,19.77,18.89,16.688,1.654,7.74,-77.1,1.05,0.22,16.5,90.4,8.60,14.3
"2019/12/10","20:07:28",12.25,30503,23073,43.3402,19.82,18.94,16.769,1.710,7.75,-77.6,0.71,0.14,15.9,90.1,8.57,14.3
"2019/12/10","20:13:28",12.25,30651,23187,43.1285,19.92,19.04,16.824,1.748,7.76,-78.4,0.58,0.12,13.3,90.4,8.60,14.4
"2019/12/10","20:19:28",12.24,30807,23302,42.9152,20.02,19.15,16.864,1.775,7.77,-78.9,0.76,0.16,12.0,90.4,8.59,14.3
"2019/12/10","20:25:27",12.25,30962,23420,42.6986,20.12,19.25,16.908,1.806,7.76,-78.4,0.51,0.11,10.1,89.8,8.53,14.3
"2019/12/10","20:31:28",12.26,30970,23433,42.6755,20.13,19.26,16.953,1.837,7.77,-78.6,0.37,0.08,9.4,88.4,8.39,14.1
"2019/12/10","20:37:28",12.24,31083,23506,42.5417,20.20,19.34,17.000,1.869,7.74,-76.8,0.69,0.14,8.4,87.1,8.27,14.4
"2019/12/10","20:43:28",12.25,31507,23832,41.9611,20.48,19.62,17.048,1.903,7.77,-78.9,0.91,0.19,12.5,88.5,8.38,14.4
"2019/12/10","20:49:28",12.26,31319,23699,42.1963,20.35,19.50,17.103,1.941,7.79,-79.7,0.67,0.14,10.3,90.6,8.59,14.4
"2019/12/10","20:55:27",12.27,31497,23836,41.9526,20.47,19.62,17.153,1.975,7.79,-79.7,0.46,0.09,12.3,90.6,8.58,14.4
"2019/12/10","21:01:27",12.27,31432,23791,42.0335,20.43,19.57,17.199,2.007,7.79,-79.9,0.30,0.06,11.4,90.5,8.57,14.4
"2019/12/10","21:07:28",12.25,31820,24074,41.5382,20.68,19.84,17.242,2.037,7.78,-79.1,0.80,0.17,12.0,89.9,8.50,14.3
"2019/12/10","21:13:28",12.25,32074,24264,41.2130,20.84,20.01,17.282,2.064,7.77,-79.0,2.11,0.44,58.7,89.1,8.42,14.3
"2019/12/10","21:19:27",12.25,32589,24651,40.5657,21.18,20.36,17.320,2.090,7.78,-79.4,0.60,0.13,21.7,88.5,8.34,14.4
"2019/12/10","21:25:28",12.29,32763,24811,40.3046,21.29,20.48,17.358,2.116,7.80,-80.3,0.72,0.15,15.9,89.6,8.43,14.4
"2019/12/10","21:31:28",12.29,32757,24805,40.3141,21.29,20.48,17.393,2.141,7.80,-80.7,0.36,0.08,14.8,91.0,8.57,14.3
"2019/12/10","21:37:28",12.30,33102,25072,39.8847,21.51,20.72,17.424,2.162,7.80,-80.7,0.61,0.13,16.9,90.9,8.54,14.4
"2019/12/10","21:43:28",12.33,32761,24830,40.2745,21.29,20.48,17.451,2.181,7.81,-80.9,1.28,0.27,16.4,91.0,8.56,14.4
"2019/12/10","21:49:27",12.35,32552,24687,40.5079,21.15,20.34,17.474,2.197,7.80,-80.7,0.80,0.16,17.6,91.0,8.56,14.4
"2019/12/10","21:55:28",12.33,33046,25049,39.9212,21.48,20.68,17.495,2.211,7.81,-81.0,0.49,0.10,18.0,90.7,8.52,14.4
"2019/12/10","22:01:28",12.35,32806,24878,40.1962,21.32,20.52,17.513,2.224,7.79,-80.2,0.26,0.05,19.0,90.7,8.53,14.4
"2019/12/10","22:07:27",12.33,32946,24973,40.0438,21.41,20.61,17.527,2.233,7.80,-80.6,0.69,0.14,20.0,90.5,8.51,14.5
"2019/12/10","22:13:28",12.35,32681,24783,40.3499,21.24,20.43,17.539,2.242,7.81,-81.0,0.56,0.12,21.1,90.7,8.53,14.4
"2019/12/10","22:19:27",12.34,32223,24430,40.9338,20.94,20.12,17.549,2.249,7.79,-80.2,0.92,0.19,23.3,90.6,8.54,14.4
"2019/12/10","22:25:27",12.33,31789,24099,41.4961,20.66,19.82,17.558,2.256,7.80,-80.7,1.18,0.24,23.9,90.9,8.59,14.3
"2019/12/10","22:31:27",12.35,30911,23443,42.6560,20.09,19.22,17.564,2.262,7.81,-80.8,0.60,0.13,20.3,91.3,8.65,14.3
"2019/12/10","22:37:28",12.36,30551,23175,43.1494,19.85,18.98,17.570,2.266,7.79,-80.1,0.09,0.02,19.5,91.4,8.67,14.3
"2019/12/10","22:43:28",12.36,30197,22909,43.6506,19.62,18.74,17.574,2.269,7.79,-80.1,0.58,0.12,17.3,91.7,8.71,14.4
"2019/12/10","22:49:28",12.36,29922,22695,44.0619,19.44,18.55,17.576,2.271,7.80,-80.6,0.85,0.17,17.3,91.5,8.71,14.4
"2019/12/10","22:55:28",12.35,29572,22427,44.5896,19.22,18.31,17.579,2.273,7.80,-80.6,0.77,0.16,16.7,91.5,8.73,14.3
"2019/12/10","23:01:27",12.34,30066,22793,43.8722,19.54,18.65,17.580,2.273,7.80,-80.7,1.18,0.25,18.3,91.3,8.68,14.4
"2019/12/10","23:07:28",12.32,30365,23013,43.4542,19.73,18.85,17.580,2.273,7.81,-80.9,0.30,0.06,18.3,90.9,8.64,14.4
"2019/12/10","23:13:28",12.33,29919,22679,44.0932,19.44,18.55,17.580,2.274,7.80,-80.7,0.88,0.18,16.5,91.2,8.68,14.4
"2019/12/10","23:19:28",12.34,29433,22314,44.8149,19.13,18.22,17.579,2.274,7.80,-80.7,0.52,0.11,15.6,91.4,8.72,14.3
"2019/12/10","23:25:28",12.32,29435,22304,44.8346,19.13,18.22,17.578,2.273,7.81,-80.8,0.57,0.12,15.1,91.4,8.73,14.3
"2019/12/10","23:31:27",12.31,29595,22422,44.5983,19.23,18.33,17.576,2.271,7.80,-80.3,0.46,0.09,14.3,90.6,8.65,14.4
"2019/12/10","23:37:27",12.30,29773,22551,44.3434,19.35,18.45,17.574,2.269,7.81,-80.9,0.56,0.12,14.9,90.9,8.67,14.4
"2019/12/10","23:43:27",12.29,29869,22621,44.2065,19.41,18.51,17.571,2.267,7.80,-80.3,0.80,0.16,14.1,90.0,8.58,14.3
"2019/12/10","23:49:28",12.29,29630,22439,44.5643,19.25,18.35,17.567,2.265,7.79,-80.1,0.57,0.12,15.0,90.1,8.60,14.3
"2019/12/10","23:55:28",12.29,29680,22475,44.4946,19.29,18.38,17.564,2.263,7.79,-80.0,0.61,0.13,18.2,90.0,8.59,14.3
"2019/12/11","00:01:27",12.29,29593,22410,44.6236,19.23,18.32,17.560,2.260,7.81,-80.8,0.59,0.12,15.1,90.6,8.65,14.3
"2019/12/11","00:07:28",12.29,29437,22291,44.8621,19.13,18.22,17.556,2.257,7.80,-80.4,0.18,0.04,14.7,90.3,8.63,14.2
"2019/12/11","00:13:28",12.29,29433,22287,44.8689,19.13,18.22,17.551,2.254,7.81,-80.9,0.20,0.04,16.1,90.4,8.63,14.3
"2019/12/11","00:19:28",12.29,29383,22249,44.9457,19.09,18.18,17.547,2.251,7.79,-79.9,0.99,0.21,18.0,90.2,8.62,14.2
"2019/12/11","00:25:28",12.29,29496,22335,44.7728,19.17,18.26,17.543,2.249,7.79,-80.1,0.83,0.17,16.6,90.6,8.65,14.5
"2019/12/11","00:31:27",12.28,29633,22437,44.5701,19.26,18.35,17.540,2.246,7.78,-79.3,0.61,0.13,14.2,89.7,8.56,14.2
"2019/12/11","00:37:28",12.28,29780,22545,44.3549,19.35,18.45,17.536,2.243,7.79,-79.8,0.81,0.17,15.4,89.6,8.54,14.2
"2019/12/11","00:43:28",12.28,29804,22563,44.3213,19.37,18.47,17.532,2.241,7.79,-79.8,0.57,0.12,11.4,89.2,8.51,14.4
"2019/12/11","00:49:28",12.27,29896,22629,44.1912,19.43,18.53,17.528,2.238,7.78,-79.3,0.71,0.15,18.9,88.9,8.47,14.3
"2019/12/11","00:55:28",12.27,29502,22328,44.7865,19.17,18.26,17.525,2.236,7.80,-80.4,0.69,0.14,18.5,89.7,8.57,14.3
"2019/12/11","01:01:27",12.27,29391,22242,44.9596,19.10,18.19,17.522,2.234,7.78,-79.5,1.16,0.24,14.6,89.1,8.51,14.3
"2019/12/11","01:07:28",12.26,29132,22044,45.3629,18.93,18.01,17.519,2.232,7.81,-80.8,0.99,0.21,18.2,89.9,8.60,14.4
"2019/12/11","01:13:28",12.26,29002,21948,45.5627,18.85,17.92,17.516,2.230,7.80,-80.4,0.91,0.19,13.4,89.6,8.58,14.3
"2019/12/11","01:19:28",12.26,28730,21742,45.9945,18.67,17.74,17.512,2.228,7.79,-79.7,0.86,0.18,16.1,89.1,8.54,14.4
"2019/12/11","01:25:28",12.27,28379,21478,46.5592,18.44,17.50,17.509,2.226,7.78,-79.5,14.31,2.98,21.6,90.0,8.64,14.3
"2019/12/11","01:31:27",12.27,27967,21169,47.2390,18.17,17.23,17.506,2.224,7.79,-80.1,0.95,0.20,21.4,90.9,8.74,14.4
"2019/12/11","01:37:28",12.28,27809,21052,47.5019,18.07,17.12,17.503,2.222,7.79,-80.0,0.90,0.19,20.1,90.1,8.67,14.3
"2019/12/11","01:43:27",12.28,27549,20855,47.9501,17.90,16.95,17.499,2.220,7.79,-79.7,0.97,0.20,20.5,90.1,8.67,14.4
"2019/12/11","01:49:27",12.28,27229,20613,48.5135,17.69,16.73,17.496,2.218,7.79,-79.7,0.61,0.13,22.5,90.7,8.75,14.3
"2019/12/11","01:55:28",12.28,26987,20428,48.9518,17.54,16.57,17.493,2.217,7.78,-79.6,0.89,0.19,24.5,90.6,8.74,14.3
"2019/12/11","02:01:28",12.27,26631,20157,49.6100,17.31,16.33,17.491,2.216,7.79,-79.8,0.96,0.20,23.9,90.5,8.75,14.3
"2019/12/11","02:07:28",12.27,26415,19993,50.0171,17.17,16.19,17.488,2.214,7.78,-79.6,0.71,0.15,22.4,90.3,8.74,14.4
"2019/12/11","02:13:28",12.27,26171,19806,50.4906,17.01,16.02,17.486,2.213,7.78,-79.5,0.92,0.19,22.5,90.8,8.79,14.4
"2019/12/11","02:19:28",12.26,25928,19619,50.9706,16.85,15.86,17.484,2.211,7.77,-78.9,0.80,0.16,22.0,90.5,8.77,14.4
"2019/12/11","02:25:27",12.25,25596,19364,51.6428,16.63,15.64,17.482,2.210,7.78,-79.7,1.34,0.28,24.4,90.8,8.82,14.3
"2019/12/11","02:31:27",12.24,25326,19156,52.2036,16.46,15.46,17.479,2.209,7.78,-79.3,0.77,0.16,25.3,90.4,8.79,14.3
"2019/12/11","02:37:28",12.24,25099,18981,52.6830,16.31,15.31,17.478,2.208,7.78,-79.5,0.89,0.19,24.9,90.7,8.83,14.3
"2019/12/11","02:43:27",12.23,24710,18681,53.5312,16.06,15.05,17.476,2.207,7.77,-78.7,1.29,0.27,26.9,90.5,8.83,14.3
"2019/12/11","02:49:28",12.22,24568,18572,53.8437,15.96,14.96,17.474,2.206,7.78,-79.2,1.20,0.25,25.2,90.2,8.81,14.3
"2019/12/11","02:55:27",12.21,24235,18317,54.5944,15.75,14.73,17.472,2.205,7.78,-79.1,0.48,0.10,25.0,90.7,8.86,14.4
"2019/12/11","03:01:27",12.21,24132,18238,54.8312,15.68,14.67,17.470,2.204,7.76,-78.4,1.45,0.30,24.6,90.4,8.84,14.3
"2019/12/11","03:07:28",12.21,24030,18159,55.0700,15.62,14.60,17.468,2.203,7.77,-78.8,1.08,0.22,25.8,90.1,8.82,14.3
"2019/12/11","03:13:28",12.20,23694,17900,55.8647,15.40,14.38,17.467,2.202,7.78,-79.2,0.81,0.17,27.2,90.9,8.91,14.3
"2019/12/11","03:19:28",12.19,23531,17774,56.2606,15.29,14.27,17.465,2.201,7.78,-79.1,0.87,0.18,28.5,90.7,8.90,14.3
"2019/12/11","03:25:28",12.19,23358,17643,56.6810,15.18,14.15,17.464,2.200,7.76,-78.4,1.42,0.30,26.6,90.6,8.90,14.3
"2019/12/11","03:31:27",12.18,23145,17477,57.2178,15.04,14.01,17.463,2.200,7.77,-79.0,1.16,0.24,27.8,90.9,8.94,14.3
"2019/12/11","03:37:28",12.17,22974,17346,57.6511,14.93,13.90,17.462,2.199,7.78,-79.2,0.85,0.18,28.1,90.7,8.93,14.4
"2019/12/11","03:43:27",12.17,22877,17271,57.9021,14.87,13.84,17.461,2.199,7.77,-79.0,0.83,0.17,29.3,90.6,8.92,14.2
"2019/12/11","03:49:27",12.17,22834,17238,58.0120,14.84,13.81,17.461,2.199,7.76,-78.5,1.04,0.22,25.5,89.9,8.85,14.3
"2019/12/11","03:55:28",12.16,22611,17068,58.5896,14.69,13.66,17.460,2.199,7.76,-78.4,0.94,0.20,32.5,89.7,8.84,14.4
"2019/12/11","04:01:28",12.16,22471,16959,58.9641,14.60,13.57,17.460,2.198,7.76,-78.2,0.61,0.13,26.4,90.0,8.87,14.3
"2019/12/11","04:07:28",12.15,22390,16896,59.1873,14.55,13.52,17.459,2.198,7.76,-78.2,1.17,0.24,30.8,89.8,8.86,14.4
"2019/12/11","04:13:28",12.15,22269,16802,59.5158,14.47,13.44,17.459,2.198,7.76,-78.2,1.41,0.29,28.8,89.9,8.88,14.4
"2019/12/11","04:19:28",12.15,22203,16753,59.6893,14.43,13.39,17.459,2.198,7.76,-78.0,0.74,0.16,27.1,89.7,8.86,14.4
"2019/12/11","04:25:28",12.14,22134,16699,59.8847,14.38,13.35,17.459,2.198,7.76,-78.0,0.71,0.14,27.1,90.4,8.93,14.4
"2019/12/11","04:31:28",12.14,22074,16653,60.0498,14.34,13.31,17.459,2.198,7.76,-78.5,0.98,0.20,26.6,90.1,8.90,14.4
"2019/12/11","04:37:28",12.14,21982,16583,60.3026,14.28,13.25,17.460,2.199,7.75,-77.9,1.63,0.34,36.0,89.6,8.86,14.4
"2019/12/11","04:43:28",12.14,21890,16511,60.5648,14.22,13.19,17.465,2.203,7.75,-77.8,1.30,0.27,30.6,89.3,8.83,14.4
"2019/12/11","04:49:28",12.13,21904,16521,60.5272,14.23,13.20,17.469,2.206,7.75,-77.6,1.15,0.24,29.6,89.6,8.86,14.4
"2019/12/11","04:55:28",12.13,21863,16488,60.6509,14.21,13.17,17.474,2.209,7.76,-78.0,0.94,0.19,27.1,89.8,8.88,14.4
"2019/12/11","05:01:28",12.12,21711,16372,61.0814,14.11,13.07,17.478,2.212,7.76,-78.0,1.26,0.26,28.5,89.8,8.89,14.4
"2019/12/11","05:07:28",12.12,21664,16334,61.2202,14.08,13.04,17.483,2.216,7.76,-78.1,0.98,0.20,25.6,90.5,8.97,14.5
"2019/12/11","05:13:28",12.12,21544,16243,61.5643,14.00,12.96,17.489,2.220,7.75,-77.7,1.83,0.38,41.0,90.2,8.94,14.5
"2019/12/11","05:19:28",12.11,21474,16189,61.7704,13.95,12.92,17.494,2.224,7.76,-78.1,1.03,0.21,23.4,90.8,9.00,14.4
"2019/12/11","05:25:28",12.11,21421,16149,61.9236,13.92,12.88,17.500,2.228,7.74,-77.2,1.30,0.27,24.4,89.7,8.89,14.4
"2019/12/11","05:31:28",12.12,21793,16432,60.8582,14.16,13.13,17.506,2.231,7.74,-76.8,1.08,0.22,24.7,88.6,8.77,14.5
"2019/12/11","05:37:28",12.13,22252,16782,59.5885,14.46,13.43,17.512,2.235,7.75,-77.6,1.11,0.23,26.4,90.7,8.95,14.4
"2019/12/11","05:43:27",12.13,22315,16828,59.4243,14.50,13.47,17.518,2.239,7.77,-78.6,1.50,0.31,23.3,90.7,8.96,14.4
"2019/12/11","05:49:28",12.12,22327,16836,59.3950,14.51,13.48,17.524,2.244,7.77,-78.6,0.77,0.16,19.7,90.9,8.97,14.4
"2019/12/11","05:55:28",12.13,22345,16854,59.3348,14.52,13.49,17.531,2.249,7.77,-78.6,1.15,0.24,22.8,91.1,8.99,14.4
"2019/12/11","06:01:28",12.13,22263,16791,59.5556,14.47,13.43,17.539,2.254,7.77,-78.6,0.97,0.20,20.2,91.1,8.99,14.4
"2019/12/11","06:07:28",12.13,22122,16683,59.9408,14.37,13.34,17.548,2.260,7.77,-78.7,1.05,0.22,20.5,91.0,9.00,14.4
"2019/12/11","06:13:28",12.12,21911,16522,60.5236,14.24,13.20,17.557,2.267,7.77,-78.7,0.96,0.20,18.7,91.1,9.01,14.5
"2019/12/11","06:19:27",12.11,21747,16395,60.9959,14.13,13.10,17.565,2.273,7.76,-78.0,0.40,0.08,15.6,91.1,9.02,14.4
"2019/12/11","06:25:27",12.10,21738,16381,61.0450,14.13,13.09,17.574,2.279,7.76,-78.3,0.47,0.10,14.1,91.1,9.02,14.4
"2019/12/11","06:31:28",12.11,21919,16523,60.5218,14.24,13.21,17.583,2.285,7.76,-78.1,1.45,0.30,16.0,91.4,9.04,14.5
"2019/12/11","06:37:28",12.12,21946,16545,60.4397,14.26,13.23,17.592,2.291,7.77,-78.7,0.64,0.13,17.3,91.3,9.03,14.4
"2019/12/11","06:43:28",12.11,21910,16516,60.5487,14.24,13.20,17.602,2.298,7.77,-78.6,0.74,0.15,16.9,91.2,9.02,14.4
"2019/12/11","06:49:28",12.11,21897,16505,60.5863,14.23,13.19,17.612,2.305,7.76,-78.0,0.34,0.07,16.6,91.1,9.02,14.4
"2019/12/11","06:55:28",12.10,21968,16556,60.4022,14.27,13.24,17.622,2.312,7.77,-78.6,0.58,0.12,16.1,91.3,9.03,14.5
"2019/12/11","07:01:28",12.12,22379,16874,59.2644,14.54,13.51,17.633,2.319,7.76,-78.5,1.01,0.21,26.4,90.9,8.98,14.5
"2019/12/11","07:07:27",12.14,23015,17363,57.5928,14.96,13.93,17.643,2.326,7.76,-78.4,1.05,0.22,29.2,90.8,8.94,14.5
"2019/12/11","07:13:28",12.17,23749,17928,55.7779,15.43,14.41,17.653,2.332,7.75,-77.9,1.21,0.25,32.7,90.9,8.91,14.5
"2019/12/11","07:19:28",12.16,23572,17790,56.2112,15.32,14.30,17.666,2.341,7.77,-78.7,0.61,0.13,30.7,90.7,8.90,14.5
"2019/12/11","07:25:28",12.15,23400,17657,56.6356,15.21,14.18,17.678,2.350,7.76,-78.5,1.05,0.22,24.1,90.7,8.91,14.5
"2019/12/11","07:31:28",12.17,23992,18115,55.2036,15.59,14.57,17.690,2.357,7.76,-78.5,0.94,0.19,27.7,90.6,8.88,14.5
"2019/12/11","07:37:28",12.17,24106,18201,54.9429,15.66,14.65,17.702,2.365,7.77,-78.6,1.16,0.24,25.3,90.7,8.88,14.4
"2019/12/11","07:43:28",12.17,24021,18134,55.1441,15.61,14.59,17.713,2.373,7.77,-78.6,0.66,0.14,18.5,90.6,8.88,14.5
"2019/12/11","07:49:28",12.18,24271,18329,54.5580,15.77,14.76,17.726,2.382,7.77,-78.7,0.56,0.11,18.0,90.6,8.86,14.5
"2019/12/11","07:55:28",12.18,24422,18443,54.2214,15.87,14.86,17.739,2.391,7.77,-78.7,0.61,0.13,21.3,90.7,8.87,14.5
"2019/12/11","08:01:28",12.18,24257,18317,54.5944,15.76,14.75,17.753,2.401,7.76,-78.2,1.11,0.23,18.0,90.7,8.87,14.4
"2019/12/11","08:07:27",12.18,24227,18293,54.6643,15.74,14.73,17.768,2.411,7.77,-78.5,0.28,0.06,16.8,90.5,8.86,14.4
"2019/12/11","08:13:28",12.18,24237,18302,54.6395,15.75,14.73,17.782,2.421,7.77,-78.7,0.77,0.16,16.4,90.7,8.87,14.5
"2019/12/11","08:19:28",12.18,24280,18333,54.5464,15.78,14.76,17.795,2.430,7.77,-78.6,0.94,0.19,13.2,90.6,8.87,14.4
"2019/12/11","08:25:28",12.19,24548,18541,53.9344,15.95,14.94,17.808,2.439,7.77,-78.6,0.96,0.20,16.6,90.5,8.84,14.4
"2019/12/11","08:31:27",12.18,24536,18529,53.9685,15.94,14.93,17.821,2.448,7.76,-78.0,0.45,0.09,14.3,90.2,8.82,14.5
"2019/12/11","08:37:27",12.18,24591,18571,53.8479,15.98,14.97,17.833,2.456,7.77,-78.8,0.54,0.11,13.7,90.4,8.83,14.4
"2019/12/11","08:43:27",12.18,24595,18571,53.8465,15.98,14.97,17.844,2.464,7.77,-78.9,0.85,0.17,13.8,90.5,8.85,14.3
"2019/12/11","08:49:27",12.19,24737,18684,53.5215,16.07,15.07,17.855,2.471,7.77,-78.6,1.00,0.21,14.7,90.0,8.78,14.4
"2019/12/11","08:55:27",12.18,24723,18669,53.5634,16.07,15.06,17.866,2.479,7.77,-78.6,1.08,0.22,14.4,89.8,8.77,14.5
"2019/12/11","09:01:28",12.20,25262,19086,52.3946,16.42,15.42,17.877,2.486,7.76,-78.2,0.62,0.13,15.5,89.4,8.71,14.5
"2019/12/11","09:07:27",12.24,26926,20362,49.1103,17.50,16.53,17.887,2.491,7.76,-78.0,1.34,0.28,24.8,88.8,8.59,14.4
"2019/12/11","09:13:28",12.25,27829,21053,47.4986,18.08,17.13,17.896,2.496,7.75,-77.5,1.14,0.24,24.5,87.1,8.39,14.5
"2019/12/11","09:19:27",12.26,28204,21339,46.8617,18.33,17.39,17.905,2.502,7.74,-77.3,0.67,0.14,23.1,87.3,8.39,14.4
"2019/12/11","09:25:27",12.26,28442,21522,46.4630,18.48,17.55,17.914,2.507,7.73,-76.5,0.67,0.14,24.7,86.2,8.27,14.5
"2019/12/11","09:31:28",12.26,28648,21678,46.1302,18.62,17.68,17.922,2.513,7.74,-77.1,1.11,0.23,23.4,86.3,8.27,14.5
"2019/12/11","09:37:27",12.26,28848,21828,45.8124,18.75,17.82,17.930,2.518,7.75,-77.8,0.82,0.17,28.0,87.1,8.35,14.5
"2019/12/11","09:43:28",12.26,29081,22002,45.4495,18.90,17.98,17.938,2.523,7.74,-77.4,1.29,0.27,27.7,85.9,8.23,14.5
"2019/12/11","09:49:28",12.25,29318,22180,45.0863,19.05,18.14,17.945,2.528,7.76,-78.4,0.11,0.02,24.4,87.1,8.33,14.5
"2019/12/11","09:55:27",12.25,29575,22373,44.6966,19.22,18.31,17.952,2.533,7.76,-78.2,0.67,0.14,24.9,87.3,8.34,14.5
"2019/12/11","10:01:28",12.25,29767,22516,44.4126,19.34,18.44,17.959,2.537,7.75,-77.6,0.52,0.11,25.0,86.7,8.28,14.5
"2019/12/11","10:07:27",12.24,30122,22783,43.8929,19.58,18.68,17.966,2.541,7.76,-78.2,1.23,0.25,24.7,86.9,8.29,14.5
"2019/12/11","10:13:28",12.24,30470,23044,43.3953,19.80,18.92,17.972,2.545,7.76,-78.1,0.24,0.05,21.9,86.9,8.27,14.5
"2019/12/11","10:19:28",12.24,30788,23283,42.9494,20.01,19.13,17.978,2.549,7.76,-78.4,0.65,0.13,22.7,87.0,8.28,14.5
"2019/12/11","10:25:27",12.24,31106,23523,42.5107,20.21,19.35,17.983,2.552,7.77,-78.7,0.98,0.20,20.9,87.1,8.27,14.5
"2019/12/11","10:31:28",12.24,31426,23765,42.0793,20.42,19.57,17.988,2.555,7.78,-79.5,0.61,0.13,27.5,88.0,8.34,14.4
"2019/12/11","10:37:28",12.24,31543,23854,41.9225,20.50,19.65,17.993,2.558,7.78,-79.4,0.77,0.16,26.1,88.2,8.36,14.4
"2019/12/11","10:43:28",12.23,29885,22596,44.2562,19.42,18.52,17.997,2.563,7.79,-79.8,1.01,0.21,28.4,89.6,8.56,14.4
"2019/12/11","10:49:28",12.23,29031,21947,45.5637,18.87,17.94,18.000,2.567,7.79,-80.0,0.57,0.12,20.1,90.1,8.63,14.4
"2019/12/11","10:55:28",12.22,28622,21637,46.2166,18.60,17.67,18.003,2.570,7.79,-79.8,1.09,0.23,16.5,90.3,8.66,14.4
"2019/12/11","11:01:27",12.22,28564,21592,46.3138,18.56,17.63,18.006,2.571,7.79,-80.1,0.55,0.11,13.6,90.4,8.68,14.4
"2019/12/11","11:07:28",12.22,28690,21689,46.1064,18.64,17.71,18.008,2.573,7.79,-80.1,1.11,0.23,15.3,90.1,8.65,14.4
"2019/12/11","11:13:28",12.21,28629,21636,46.2187,18.60,17.67,18.010,2.574,7.79,-80.0,1.10,0.23,14.0,90.0,8.64,14.4
"2019/12/11","11:19:28",12.20,28461,21505,46.5000,18.50,17.56,18.012,2.576,7.79,-79.9,0.76,0.16,13.1,90.1,8.65,14.5
"2019/12/11","11:25:27",12.20,28094,21223,47.1194,18.26,17.31,18.013,2.577,7.79,-80.0,0.63,0.13,14.2,90.2,8.68,14.4
"2019/12/11","11:31:27",12.19,27828,21021,47.5714,18.08,17.13,18.015,2.578,7.79,-79.7,0.54,0.11,13.9,90.0,8.68,14.4
"2019/12/11","11:37:28",12.19,27857,21042,47.5229,18.10,17.15,18.016,2.579,7.79,-80.0,0.65,0.13,13.4,90.2,8.69,14.4
"2019/12/11","11:43:27",12.20,27881,21063,47.4766,18.12,17.17,18.016,2.579,7.78,-79.1,0.36,0.08,13.6,90.2,8.69,14.5
"2019/12/11","11:49:28",12.20,27896,21075,47.4502,18.13,17.18,18.017,2.580,7.79,-79.7,0.95,0.20,16.7,90.2,8.69,14.5
"2019/12/11","11:55:27",12.20,27750,20967,47.6944,18.03,17.08,18.017,2.580,7.79,-79.8,1.27,0.26,17.3,90.1,8.68,14.4
"2019/12/11","12:01:27",12.20,27658,20898,47.8504,17.97,17.02,18.016,2.580,7.79,-79.7,0.56,0.12,17.7,90.2,8.69,14.4
"2019/12/11","12:07:28",12.21,27660,20901,47.8448,17.97,17.02,18.016,2.579,7.79,-79.9,0.49,0.10,17.5,90.2,8.69,14.5
"2019/12/11","12:13:28",12.21,27999,21159,47.2619,18.19,17.25,18.015,2.578,7.78,-79.1,0.77,0.16,17.8,90.2,8.68,14.3
"2019/12/11","12:19:27",12.21,28106,21241,47.0793,18.26,17.32,18.013,2.577,7.78,-79.6,0.23,0.05,24.4,90.2,8.68,14.4
"2019/12/11","12:25:28",12.21,27854,21049,47.5074,18.10,17.15,18.012,2.576,7.79,-79.8,1.39,0.29,30.1,90.1,8.68,14.4
"2019/12/11","12:31:27",12.19,27366,20668,48.3829,17.78,16.82,18.010,2.576,7.79,-79.8,0.77,0.16,25.2,90.3,8.72,14.4
"2019/12/11","12:37:28",12.16,26808,20236,49.4172,17.42,16.45,18.009,2.576,7.79,-79.8,0.80,0.16,22.4,90.5,8.77,14.5
"2019/12/11","12:43:27",12.13,25788,19449,51.4172,16.76,15.76,18.008,2.576,7.78,-79.2,1.02,0.21,21.2,90.6,8.82,14.3
"2019/12/11","12:49:28",12.11,25188,18987,52.6681,16.37,15.36,18.007,2.576,7.78,-79.1,0.87,0.18,20.1,90.8,8.86,14.3
"2019/12/11","12:55:28",12.11,25063,18892,52.9322,16.29,15.28,18.004,2.575,7.79,-79.7,0.53,0.11,19.2,90.8,8.86,14.3
"2019/12/11","13:01:28",12.12,25242,19034,52.5384,16.40,15.40,18.002,2.573,7.78,-79.6,0.61,0.13,22.1,90.6,8.84,14.1
"2019/12/11","13:07:28",12.12,25202,19004,52.6194,16.38,15.37,18.000,2.572,7.77,-79.0,0.91,0.19,20.1,90.6,8.85,14.3
"2019/12/11","13:13:28",12.13,25281,19068,52.4442,16.43,15.43,17.999,2.571,7.78,-79.4,1.09,0.23,21.9,90.7,8.85,14.3
"2019/12/11","13:19:28",12.15,25400,19165,52.1796,16.51,15.51,17.997,2.569,7.78,-79.4,0.54,0.11,22.2,90.6,8.83,14.3
"2019/12/11","13:25:28",12.15,25382,19151,52.2169,16.49,15.49,17.995,2.568,7.78,-79.5,1.49,0.31,22.3,90.4,8.81,14.3
"2019/12/11","13:31:27",12.14,25208,19016,52.5869,16.38,15.38,17.993,2.567,7.77,-78.9,0.56,0.11,23.6,90.6,8.83,14.3
"2019/12/11","13:37:27",12.12,24822,18718,53.4251,16.13,15.12,17.992,2.567,7.77,-78.8,1.39,0.29,20.9,90.6,8.85,14.3
